==============================================================================================
Number of Processes: 69
==============================================================================================
Process ID	Arrival Time	Burst Time	Turnaround Time		Waiting Time
     1	              0	           41	             41		              0
    14	             20	            2	             23		             21
    20	             28	            3	             18		             15
    19	             26	            4	             24		             20
    33	             49	            1	              2		              1
     3	              4	            5	             52		             47
    38	             54	            1	              3		              2
    28	             38	            8	             27		             19
    46	             65	            4	              4		              0
    48	             69	            6	              6		              0
    25	             37	            8	             46		             38
    55	             83	            2	              2		              0
    40	             58	            9	             36		             27
    57	             86	            4	             12		              8
    65	             95	            5	              8		              3
    58	             87	            6	             22		             16
    64	             95	            7	             21		             14
    18	             25	            9	            100		             91
    60	             93	           10	             42		             32
     5	              6	           10	            139		            129
    11	             16	           12	            141		            129
     8	             11	           12	            158		            146
    67	             98	           13	             84		             71
    42	             61	           13	            134		            121
    51	             76	           15	            134		            119
    50	             75	           15	            150		            135
     7	             10	           15	            230		            215
    56	             83	           17	            174		            157
    23	             35	           17	            239		            222
     6	              9	           17	            282		            265
    34	             50	           18	            259		            241
    39	             56	           20	            273		            253
    13	             18	           20	            331		            311
    59	             90	           20	            279		            259
    30	             42	           22	            349		            327
    17	             25	           22	            388		            366
     4	              4	           22	            431		            409
    43	             64	           22	            393		            371
    36	             50	           24	            431		            407
    37	             51	           24	            454		            430
    29	             41	           24	            488		            464
    21	             30	           24	            523		            499
    68	            100	           29	            482		            453
    53	             81	           26	            527		            501
     2	              2	           32	            638		            606
    44	             64	           33	            609		            576
    69	            102	           34	            605		            571
    47	             66	           34	            675		            641
    54	             83	           38	            696		            658
    32	             47	           38	            770		            732
    52	             78	           39	            778		            739
    10	             16	           32	            872		            840
    16	             22	           39	            905		            866
    24	             37	           40	            930		            890
    61	             94	           41	            914		            873
    26	             38	           41	           1011		            970
    15	             22	           41	           1068		           1027
    31	             44	           42	           1088		           1046
     9	             13	           42	           1161		           1119
    49	             72	           39	           1141		           1102
    45	             65	           44	           1192		           1148
    66	             97	           46	           1206		           1160
    63	             95	           46	           1254		           1208
    62	             94	           46	           1301		           1255
    12	             18	           48	           1425		           1377
    22	             32	           43	           1454		           1411
    27	             38	           49	           1497		           1448
    35	             50	           50	           1535		           1485
    41	             61	           49	           1573		           1524
Process order: P1 -> P14 -> P20 -> P19 -> P33 -> P3 -> P38 -> P28 -> P46 -> P48 -> P25 -> P55 -> P40 -> P57 -> P65 -> P58 -> P64 -> P18 -> P60 -> P5 -> P11 -> P8 -> P67 -> P42 -> P51 -> P50 -> P7 -> P56 -> P23 -> P6 -> P34 -> P39 -> P13 -> P59 -> P30 -> P17 -> P4 -> P43 -> P36 -> P37 -> P29 -> P21 -> P68 -> P53 -> P2 -> P44 -> P69 -> P47 -> P54 -> P32 -> P52 -> P10 -> P16 -> P24 -> P61 -> P26 -> P15 -> P31 -> P9 -> P49 -> P45 -> P66 -> P63 -> P62 -> P12 -> P22 -> P27 -> P35 -> P41
==============================================================================================
Statistics for run:
Average Waiting Time: 472.84
Average Turnaround Time: 496.52
End of Statistics
==============================================================================================
